# Top 40 Cryptocurrencies by Market Cap
# Ticker,Name,Price
BTC,Bitcoin,103500.00
ETH,Ethereum,2480.00
USDT,Tether,1.00
BNB,BNB,650.00
XRP,XRP,2.42
USDC,USD Coin,1.00
SOL,Solana,168.00
DOGE,Dogecoin,0.23
ADA,Cardano,0.78
TRX,TRON,0.27
AVAX,Avalanche,24.50
LINK,Chainlink,15.80
TON,Toncoin,3.45
SUI,Sui,3.92
DOT,Polkadot,4.80
BCH,Bitcoin Cash,395.00
LTC,Litecoin,88.00
NEAR,NEAR Protocol,3.10
DAI,Dai,1.00
UNI,Uniswap,6.40
APT,Aptos,5.70
ICP,Internet Computer,6.90
POL,Polygon,0.24
ETC,Ethereum Classic,19.80
XLM,Stellar,0.29
RENDER,Render,5.20
FIL,Filecoin,3.60
ARB,Arbitrum,0.38
ATOM,Cosmos,4.20
STX,Stacks,0.95
HBAR,Hedera,0.19
MNT,Mantle,0.73
OP,Optimism,0.72
INJ,Injective,12.50
IMX,Immutable,0.62
GRT,The Graph,0.13
AAVE,Aave,178.00
