# Norske aksjer på Oslo Børs
# Ticker,Name,Price

EQNR,Equinor,285.50
DNB,DNB Bank,245.30
MOWI,Mowi,195.80
TEL,Telenor,125.40
YAR,Yara International,315.20
NHY,Norsk Hydro,68.40
AKRBP,Aker BP,245.60
ORK,Orkla,98.75
SALM,SalMar,520.00
LSG,Lerøy Seafood,52.30
SUBC,Subsea 7,145.20
BWLPG,BW LPG,185.40
AUTOSTORE,AutoStore,18.50
RECSI,REC Silicon,8.90
SCATEC,Scatec,62.40
AKER,Aker,695.00
AKSO,Aker Solutions,42.30
BAKKA,Bakkafrost,485.00
PCIB,PCI Biotech,12.40
NSKOG,Norske Skog,28.60
BOUVET,Bouvet,65.20
CRAYON,Crayon Group,82.50
KOG,Kongsberg Gruppen,1245.00
VAREX,Vår Energi,38.20
SRBANK,SpareBank 1 SR-Bank,148.60
MING,Merkur Market,4.20
SBANK,Sparebanken Vest,112.40
SVEG,Sparebanken Sogn og Fjordane,198.00
AFG,AF Gruppen,148.20
BEWI,BEWiSynbra,28.40
BORR,Borr Drilling,52.30
FLNG,Flex LNG,195.60
HAFNI,Hafnia,68.40
HAVI,Havila Shipping,12.50
HRGI,Harøy Gruppen,18.90
IDEX,IDEX Biometrics,1.85
JSHIP,J. B. Shipping,38.50
KJELL,Kjell Group,42.10
LINK,Link Mobility,18.60
MPCC,MPC Container Ships,18.40
NAPA,Napas,8.20
NEL,Nel,5.90
NEXT,Next Biometrics,2.10
NRC,NRC Group,28.40
NWCC,NorWest Capital,4.80
ODF,Odfjell,68.20
OKEA,OKEA,38.60
PARB,Pareto Bank,58.40
PGS,PGS,14.20
PHO,Photon Dynamics,6.80
PROT,Protector Forsikring,245.00
QFR,Q-Free,8.40
RCR,Rocksource,2.10
SAGA,Saga Pure,1.80
SDRL,Seadrill,425.00
SEGY,Seabird Exploration,2.40
SHLF,Shelf Drilling,28.60
SIOFF,Siem Offshore,4.20
SKUE,Skue Sparebank,285.00
SOFF,Solstad Offshore,18.40
SRIGS,Siem Riggs,12.60
STRO,Strongpoint,28.40
SUPRA,Supranational,6.20
SVVL,Svolvær Holding,42.00
TIETOEVRY,Tietoevry,198.40
TOM,Tomra Systems,148.60
TOTG,Totens Sparebank,245.00
VISTIN,Vistin Pharma,18.40
VGM,Veidekke,125.80
WWI,Wilh. Wilhelmsen,385.00
